time,força_total,rate
1603.8500000000001,280.77323734621973,81.1922676265378
1603.9,280.771489801452,81.19228510198548
1603.95,280.76974512557365,81.19230254874427
1604.0,280.76800329442636,81.19231996705574
1604.0500000000002,280.76626429167845,81.19233735708322
1604.1000000000001,280.7645281016645,81.19235471898335
1604.15,280.7627947075616,81.19237205292438
1604.2,280.76106409104307,81.19238935908957
1604.25,280.7593362322852,81.19240663767715
1604.3000000000002,280.75761111660717,81.19242388883393
1604.3500000000001,280.75588872899795,81.19244111271001
1604.4,280.7541690530756,81.19245830946925
1604.45,280.7524520765227,81.19247547923477
1604.5,280.7507377916898,81.19249262208311
1604.5500000000002,280.74902619015774,81.19250973809842
1604.6000000000001,280.74731728299207,81.19252682717008
1604.65,280.74561108449427,81.19254388915506
1604.7,280.7439076068106,81.1925609239319
1604.75,280.7422068586634,81.19257793141337
1604.8000000000002,280.7405088519134,81.19259491148087
1604.8500000000001,280.73881359616865,81.19261186403831
1604.9,280.73712109784185,81.19262878902158
1604.95,280.73543136102256,81.19264568638978
1605.0,280.73374439222204,81.19266255607778
1605.0500000000002,280.73206019621676,81.19267939803784
1605.1000000000001,280.73037877508654,81.19269621224913
1605.15,280.7287001304433,81.19271299869557
1605.2,280.7270242621711,81.19272975737829
1605.25,280.7253511677542,81.19274648832246
1605.3000000000002,280.7236808482379,81.19276319151763
1605.3500000000001,280.7220133035994,81.192779866964
1605.4,280.7203485315682,81.19279651468432
1605.45,280.7186865274767,81.19281313472523
1605.5,280.7170272874435,81.19282972712557
1605.5500000000002,280.7153708107495,81.19284629189251
1605.6000000000001,280.7137170976213,81.19286282902378
1605.65,280.7120661464508,81.19287933853549
1605.7,280.71041795333065,81.19289582046669
1605.75,280.7087725206318,81.19291227479368
1605.8000000000002,280.70712985014836,81.19292870149852
1605.8500000000001,280.70548994146935,81.1929451005853
1605.9,280.7038527931257,81.19296147206875
1605.95,280.7022184015122,81.19297781598488
1606.0,280.70058676636154,81.19299413233638
1606.0500000000002,280.69895788628486,81.19301042113715
1606.1000000000001,280.697331757734,81.19302668242265
1606.15,280.6957083748896,81.1930429162511
1606.2,280.69408772975436,81.19305912270245
1606.25,280.6924698122936,81.19307530187706
1606.3000000000002,280.69085461057557,81.19309145389424
1606.3500000000001,280.6892421109038,81.19310757889096
1606.4,280.68763229794087,81.1931236770206
1606.45,280.6860251548193,81.19313974845181
1606.5,280.6844206632455,81.19315579336755
1606.5500000000002,280.68281880359507,81.19317181196405
1606.6000000000001,280.6812195550004,81.19318780444999
1606.65,280.6796228954313,81.19320377104569
1606.7,280.6780288017704,81.1932197119823
